,number,value,datetime_start,datetime_complete,duration,params_TIME_SERIES_SIZE,params_activation,params_filter_activation,params_learning_rate,params_n_lstm_layers,params_n_preprocessing_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_n_units_l3,params_n_units_l4,params_n_units_l5,params_n_units_l6,params_n_units_l7,params_n_units_l8,params_n_units_l9,params_n_units_preprocess_l0,params_n_units_preprocess_l1,params_n_units_preprocess_l2,params_n_units_preprocess_l3,params_n_units_preprocess_l4,params_n_units_preprocess_l5,params_n_units_preprocess_l6,params_n_units_preprocess_l7,params_n_units_preprocess_l8,params_n_units_preprocess_l9,state
20,20,0.00026243593310937285,2024-08-04 11:19:53.741530,2024-08-04 11:27:26.717432,0 days 00:07:32.975902,19,softmax,relu,0.001771049829600524,5,10,383,3.0,478.0,13.0,225.0,,,,,,303.0,99.0,132.0,423.0,482.0,185.0,222.0,413.0,275.0,49.0,COMPLETE
21,21,2.1555432283548726e-07,2024-08-04 11:27:26.751802,2024-08-04 11:32:20.552972,0 days 00:04:53.801170,28,tanh,sigmoid,0.00940264947330512,8,8,308,221.0,374.0,366.0,15.0,245.0,12.0,472.0,,,149.0,58.0,146.0,233.0,331.0,418.0,318.0,311.0,,,COMPLETE
22,22,8.306832569360267e-06,2024-08-04 11:32:20.586563,2024-08-04 11:35:32.779431,0 days 00:03:12.192868,11,sigmoid,elu,0.001197233281651365,2,9,205,412.0,,,,,,,,,365.0,498.0,50.0,396.0,309.0,227.0,146.0,200.0,215.0,,COMPLETE
23,23,0.00026716155116446316,2024-08-04 11:35:32.816924,2024-08-04 11:45:58.819207,0 days 00:10:26.002283,43,softmax,softmax,0.00010736244518520941,5,6,223,240.0,193.0,409.0,123.0,,,,,,433.0,226.0,258.0,236.0,12.0,395.0,,,,,COMPLETE
24,24,6.173678457344067e-08,2024-08-04 11:45:58.851769,2024-08-04 11:54:43.400256,0 days 00:08:44.548487,24,softmax,tanh,0.003630123033611432,7,2,142,75.0,427.0,313.0,286.0,470.0,183.0,,,,276.0,375.0,,,,,,,,,COMPLETE
25,25,,2024-08-04 11:54:43.433026,2024-08-04 11:59:32.572704,0 days 00:04:49.139678,40,softmax,sigmoid,0.01433329462735514,3,8,333,11.0,481.0,,,,,,,,428.0,10.0,285.0,476.0,425.0,291.0,290.0,495.0,,,FAIL
26,26,,2024-08-04 12:02:42.468553,2024-08-04 12:04:36.903484,0 days 00:01:54.434931,41,softmax,sigmoid,0.014459432560068245,3,8,330,6.0,489.0,,,,,,,,426.0,5.0,298.0,482.0,427.0,315.0,296.0,491.0,,,FAIL
27,27,9.550283721182495e-06,2024-08-04 12:09:06.382789,2024-08-04 12:16:11.285186,0 days 00:07:04.902397,41,softmax,sigmoid,0.01382068837367817,3,8,338,33.0,499.0,,,,,,,,429.0,17.0,346.0,496.0,423.0,293.0,296.0,485.0,,,COMPLETE
28,28,3.377146276761778e-05,2024-08-04 12:16:11.327792,2024-08-04 12:24:48.672449,0 days 00:08:37.344657,49,softmax,sigmoid,0.0872524444083356,3,9,296,67.0,500.0,,,,,,,,351.0,50.0,278.0,420.0,323.0,416.0,166.0,497.0,216.0,,COMPLETE
29,29,4.051373636571043e-08,2024-08-04 12:24:48.705653,2024-08-04 12:30:13.575483,0 days 00:05:24.869830,37,softmax,sigmoid,0.0063141974804660295,2,10,377,13.0,,,,,,,,,408.0,2.0,318.0,384.0,395.0,422.0,495.0,372.0,4.0,486.0,COMPLETE
30,30,0.0002671891706995666,2024-08-04 12:30:13.610326,2024-08-04 12:36:12.244530,0 days 00:05:58.634204,36,softmax,sigmoid,0.018226626604536948,2,10,402,193.0,,,,,,,,,379.0,98.0,347.0,397.0,497.0,446.0,499.0,344.0,3.0,493.0,COMPLETE
31,31,0.0002965961757581681,2024-08-04 12:36:12.280570,2024-08-04 12:41:10.319515,0 days 00:04:58.038945,31,softmax,relu,0.03566128992517682,2,9,423,86.0,,,,,,,,,459.0,7.0,434.0,371.0,194.0,435.0,420.0,377.0,126.0,,COMPLETE
32,32,,2024-08-04 12:41:10.357562,2024-08-04 12:50:13.071971,0 days 00:09:02.714409,38,elu,sigmoid,0.005212704982679384,5,7,236,289.0,259.0,421.0,500.0,,,,,,255.0,81.0,44.0,264.0,287.0,130.0,145.0,,,,FAIL
33,33,1.3679887445050554e-07,2024-08-04 12:50:13.098154,2024-08-04 12:59:20.486394,0 days 00:09:07.388240,37,sigmoid,sigmoid,0.004351510630349569,5,7,345,281.0,255.0,406.0,490.0,,,,,,323.0,78.0,43.0,266.0,288.0,130.0,142.0,,,,COMPLETE
34,34,7.272380457834515e-07,2024-08-04 12:59:20.520615,2024-08-04 13:02:15.124363,0 days 00:02:54.603748,26,tanh,sigmoid,0.0007756176826759088,4,10,262,44.0,365.0,260.0,,,,,,,263.0,153.0,121.0,185.0,444.0,301.0,345.0,268.0,374.0,333.0,COMPLETE
35,35,0.00030476582469418645,2024-08-04 13:02:15.158451,2024-08-04 13:11:09.902134,0 days 00:08:54.743683,20,elu,relu,0.0023247351593641964,7,7,236,400.0,95.0,444.0,154.0,223.0,483.0,,,,397.0,113.0,225.0,288.0,358.0,393.0,187.0,,,,COMPLETE
36,36,9.450207471672911e-06,2024-08-04 13:11:09.938101,2024-08-04 13:14:54.958551,0 days 00:03:45.020450,39,softmax,sigmoid,0.0006456406715841799,1,9,435,,,,,,,,,,449.0,50.0,318.0,358.0,269.0,461.0,101.0,97.0,10.0,,COMPLETE
37,37,8.625620466773398e-06,2024-08-04 13:14:54.993924,2024-08-04 13:26:53.887433,0 days 00:11:58.893509,46,softmax,softmax,0.006651392965618324,6,0,486,185.0,301.0,336.0,298.0,381.0,,,,,,,,,,,,,,,COMPLETE
38,38,1.257577224578199e-07,2024-08-04 13:26:53.923430,2024-08-04 13:33:57.008143,0 days 00:07:03.084713,43,softmax,sigmoid,0.010403466090136078,3,8,328,2.0,456.0,,,,,,,,413.0,36.0,320.0,465.0,397.0,370.0,259.0,433.0,,,COMPLETE
39,39,,2024-08-04 13:33:57.045752,2024-08-04 13:35:57.997450,0 days 00:02:00.951698,40,softmax,sigmoid,0.031942103650982524,2,10,369,36.0,,,,,,,,,346.0,2.0,394.0,437.0,361.0,332.0,276.0,411.0,177.0,228.0,FAIL
40,40,1.9181076993390889e-07,2024-08-04 13:38:37.737433,2024-08-04 13:44:04.402013,0 days 00:05:26.664580,40,softmax,sigmoid,0.030382877751813735,2,10,367,31.0,,,,,,,,,346.0,3.0,293.0,436.0,367.0,333.0,499.0,435.0,155.0,222.0,COMPLETE
41,41,2.2492754325753594e-08,2024-08-04 13:44:04.441475,2024-08-04 13:55:58.788744,0 days 00:11:54.347269,45,softmax,sigmoid,0.0010752119420450277,5,9,301,119.0,395.0,438.0,174.0,,,,,,403.0,47.0,241.0,449.0,449.0,460.0,228.0,455.0,290.0,,COMPLETE
42,42,0.00033361997338943183,2024-08-04 13:55:58.825497,2024-08-04 14:08:20.354898,0 days 00:12:21.529401,46,softmax,sigmoid,0.0001927442224062735,5,9,163,99.0,392.0,439.0,177.0,,,,,,388.0,76.0,390.0,385.0,453.0,454.0,209.0,388.0,317.0,,COMPLETE
43,43,,2024-08-04 14:08:20.389776,2024-08-04 14:19:32.616386,0 days 00:11:12.226610,47,elu,tanh,0.0015002216090225665,6,10,106,128.0,332.0,442.0,73.0,187.0,,,,,341.0,184.0,40.0,126.0,183.0,464.0,279.0,301.0,322.0,385.0,FAIL
44,44,,2024-08-04 14:19:32.645063,2024-08-04 14:25:41.287159,0 days 00:06:08.642096,46,elu,tanh,0.001331607191772013,6,10,96,127.0,339.0,447.0,89.0,171.0,,,,,341.0,128.0,35.0,497.0,174.0,462.0,273.0,315.0,308.0,388.0,FAIL
45,45,,2024-08-04 14:27:57.736758,2024-08-04 14:35:56.604193,0 days 00:07:58.867435,50,elu,tanh,0.0013746699241248095,4,10,93,111.0,338.0,454.0,,,,,,,449.0,127.0,33.0,109.0,180.0,462.0,274.0,321.0,316.0,380.0,FAIL
46,46,0.0002992737863678485,2024-08-04 14:38:12.029596,2024-08-04 14:50:35.547317,0 days 00:12:23.517721,45,elu,tanh,0.001123954969981215,6,10,97,137.0,330.0,444.0,85.0,199.0,,,,,454.0,114.0,498.0,208.0,453.0,458.0,297.0,326.0,481.0,385.0,COMPLETE
47,47,1.0621835826896131e-05,2024-08-04 14:50:35.587427,2024-08-04 14:53:54.300879,0 days 00:03:18.713452,49,tanh,sigmoid,0.00042407607192171263,4,2,275,117.0,408.0,380.0,,,,,,,337.0,182.0,,,,,,,,,COMPLETE
48,48,,2024-08-04 14:53:54.335214,2024-08-04 15:03:55.979270,0 days 00:10:01.644056,39,softmax,elu,0.0026866714001552777,8,9,290,45.0,430.0,286.0,197.0,307.0,193.0,67.0,,,216.0,26.0,32.0,128.0,207.0,399.0,113.0,445.0,326.0,,FAIL
49,49,6.12696382518152e-08,2024-08-04 15:07:05.594645,2024-08-04 15:21:33.397364,0 days 00:14:27.802719,38,softmax,elu,0.0028019297865233875,8,9,290,51.0,449.0,260.0,194.0,301.0,166.0,12.0,,,229.0,303.0,35.0,105.0,168.0,397.0,114.0,442.0,326.0,,COMPLETE
50,50,3.821946847892832e-08,2024-08-04 15:21:33.436841,2024-08-04 15:24:24.960929,0 days 00:02:51.524088,33,elu,relu,0.001704691238030134,1,10,232,,,,,,,,,,370.0,36.0,80.0,306.0,353.0,461.0,257.0,270.0,166.0,121.0,COMPLETE
51,51,,2024-08-04 15:24:24.994394,2024-08-04 15:27:00.656962,0 days 00:02:35.662568,33,elu,relu,0.001448500662940876,7,5,231,285.0,337.0,455.0,274.0,478.0,365.0,,,,294.0,81.0,78.0,309.0,245.0,,,,,,FAIL
