,number,value,datetime_start,datetime_complete,duration,params_TIME_SERIES_SIZE,params_activation,params_learning_rate,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,state
32,32,0.1230284571647644,2024-07-15 14:58:56.467754,2024-07-15 15:06:08.557803,0 days 00:07:12.090049,10,relu,1.7135269959567986e-05,3.0,91.0,15.0,91.0,COMPLETE
33,33,0.1833794116973877,2024-07-15 15:06:08.557803,2024-07-15 15:17:10.230230,0 days 00:11:01.672427,29,relu,3.406073931649962e-05,3.0,19.0,23.0,100.0,COMPLETE
34,34,0.15607742965221405,2024-07-15 15:17:10.230230,2024-07-15 15:28:02.548048,0 days 00:10:52.317818,22,relu,6.33787473943985e-05,3.0,80.0,11.0,73.0,COMPLETE
35,35,0.12859104573726654,2024-07-15 15:28:02.549048,2024-07-15 15:38:57.291955,0 days 00:10:54.742907,16,tanh,1.774383402159439e-05,3.0,95.0,31.0,92.0,COMPLETE
36,36,0.22892864048480988,2024-07-15 15:38:57.291955,2024-07-15 15:50:43.882414,0 days 00:11:46.590459,31,relu,0.0002492477098047054,2.0,86.0,16.0,,COMPLETE
37,37,0.22793470323085785,2024-07-15 15:50:43.883416,2024-07-15 16:00:13.656201,0 days 00:09:29.772785,21,relu,0.021766184831067795,3.0,41.0,22.0,74.0,COMPLETE
38,38,0.14811445772647858,2024-07-15 16:00:13.657201,2024-07-15 16:18:40.965842,0 days 00:18:27.308641,39,tanh,1.3470282154301237e-05,3.0,57.0,68.0,41.0,COMPLETE
39,39,0.1392509937286377,2024-07-15 16:18:40.967839,2024-07-15 16:25:53.051703,0 days 00:07:12.083864,14,relu,2.9628044240642964e-05,2.0,78.0,57.0,,COMPLETE
40,40,0.1592080295085907,2024-07-15 16:25:53.052704,2024-07-15 16:52:40.246584,0 days 00:26:47.193880,51,tanh,0.003318399305907122,3.0,100.0,27.0,92.0,COMPLETE
41,41,0.1200828030705452,2024-07-15 16:52:40.247584,2024-07-15 16:59:48.161217,0 days 00:07:07.913633,11,relu,1.7461316037557897e-05,3.0,91.0,14.0,93.0,COMPLETE
42,42,0.1314135193824768,2024-07-15 16:59:48.162217,2024-07-15 17:08:17.003537,0 days 00:08:28.841320,14,relu,5.10372669372679e-05,3.0,94.0,13.0,94.0,COMPLETE
43,43,0.13665246963500977,2024-07-15 17:08:17.004535,2024-07-15 17:15:06.046458,0 days 00:06:49.041923,10,relu,0.00010901790622021979,3.0,87.0,20.0,85.0,COMPLETE
44,44,0.15238812565803528,2024-07-15 17:15:06.046458,2024-07-15 17:28:59.825132,0 days 00:13:53.778674,21,relu,1.544687034358138e-05,3.0,95.0,78.0,100.0,COMPLETE
45,45,0.13067832589149475,2024-07-15 17:28:59.826132,2024-07-15 17:38:09.136582,0 days 00:09:09.310450,15,relu,2.6991453469131423e-05,3.0,83.0,14.0,94.0,COMPLETE
46,46,0.3530026972293854,2024-07-15 17:38:09.137582,2024-07-15 17:51:27.730246,0 days 00:13:18.592664,68,relu,1.4018618096150426e-05,1.0,90.0,,,COMPLETE
47,47,,2024-07-15 17:51:27.731247,2024-07-15 17:51:45.757051,0 days 00:00:18.025804,25,,,,,,,FAIL
